id,title,content
1,Датчик давления ПД-Эко v2,"Датчик ПД-Эко v2 предназначен для измерения дифференциального давления в промышленных установках. Прибор имеет цифровой интерфейс Modbus-RTU и поддерживает температурную компенсацию. Для калибровки используется функция «нулевой отсечки», активируемая через сервисное меню. Погрешность измерения не превышает 0.1 % при нормальных условиях."
2,Манипулятор Аист-9,"Манипулятор «Аист-9» — промышленный робот для точных монтажных операций. Система стабилизации удерживает груз до 12.4 кг при стандартной конфигурации и до 15 кг при усиленных приводах. Управляется по протоколу EtherCAT, поддерживает ручной и автоматический режимы. Оснащён датчиками обратной связи для каждого привода, что повышает точность позиционирования до 0.05 мм."
3,Контроллер КТ-400,"Контроллер КТ-400 используется для управления роботизированными линиями. Поддерживает до 64 аналоговых каналов, функцию горячего резервирования и обновление прошивки по сети. Работает в диапазоне температур от -20 до +60 °C. Оснащён встроенным журналом событий, доступным через веб-интерфейс."
4,Нейрочип Q-Neuro-Δ,"Q-Neuro-Δ — отечественный нейропроцессор для обработки потоковых данных в режиме реального времени. Основан на архитектуре нейроморфных ядер, обеспечивающих задержку менее 2 мс. Энергоэффективность — до 35 Гфлопс/Вт. Поддерживает прямую интеграцию с ROS и TensorRT. Требует активного охлаждения при температуре выше 60 °C."
5,Система технического зрения Визор-X,"Система «Визор-X» используется для распознавания объектов на производственной линии. Поддерживает модели YOLOv8 и Vision Transformer, имеет встроенный автофокус и динамическую экспозицию. Калибровка выполняется по эталонной сетке. Обеспечивает точность до 98 % при освещённости выше 300 люкс."
6,Линейный привод LP-12,"Линейный электропривод LP-12 применяется в сборочных линиях и станках с ЧПУ. Ход штока — 120 мм, усилие — до 300 Н. Поддерживает обратную связь по энкодеру и плавное ускорение. Может работать при напряжении питания от 24 до 48 В постоянного тока."
7,Промышленная шина EtherCAT,"EtherCAT — протокол промышленной связи, обеспечивающий обмен данными в реальном времени с задержкой менее 100 мкс. Используется в робототехнике, системах управления и автоматизации. Позволяет синхронизировать до 65 535 узлов в одной сети. Работает поверх стандартного Ethernet."
8,Панель оператора OP-500,"Панель оператора OP-500 служит для взаимодействия человека с промышленным контроллером. Оснащена 10-дюймовым сенсорным дисплеем, имеет порты USB, Ethernet и RS-485. Поддерживает визуализацию технологических процессов и пользовательские сценарии на языке LUA."
9,Модуль питания PSU-24,"PSU-24 — источник стабилизированного питания постоянного тока 24 В. Имеет защиту от перегрузки и короткого замыкания, КПД — 94 %. Предназначен для питания контроллеров, датчиков и исполнительных механизмов. Работает при температуре от -30 до +70 °C."
10,Интерфейс Modbus-RTU,"Modbus-RTU — промышленный протокол для обмена данными между контроллером и датчиками. Использует интерфейс RS-485 и скорость передачи до 115 200 бод. Поддерживает опрос до 247 устройств в одной сети. Применяется для считывания параметров и передачи управляющих команд."
