q_id,query
1,Какой номер счета?
2,Где можно найти реквизиты счета?
3,Коды для подтверждения операции не поступают мне
4,"Оформила рассрочку, но не получила никаких уведомлений."
5,Когда можно начать использовать кредитную карту?
6,По истории платеж не отображается
7,"Можно ли закрыть бизнес-счет в отделении банка на улице Институтская, Нахабино?"
8,Как узнать свой зарплатный счет?
9,Где можно узнать дату начала использования кредитной карты?
10,Смс не поступает
11,Не удается видеть изображение на экране
12,Не удается войти в Альфа Онлайн через номер телефона
13,"Я оформила кредитную карту, и мне одобрили, но мне не приходят СМС для получения карты в банке."
14,Каким образом можно получить номер расчетного счета?
15,Какие способы оплаты кредита доступны?
16,"Могу ли я узнать, какая сумма была добавлена вчера на счет по кредиту? В какой раздел поступил платеж? По кредиту или налогам? Что делать дальше?"
17,Как можно получить информацию о БИК и расчётном счёте?
18,Просьба предоставить список всех моих счетов
19,Где ушли деньги?
20,"Вы отправили средства с вашего банка на Альфа-банк для погашения рассрочки (00000, немного больше, на всякий случай). Пожалуйста, сообщите, получили ли они деньги, так как в приложении это не отображается?"
21,Что происходит? Почему снова не приходят смс?
22,Перевод отсутствует в истории операций
23,Какой кредитный счет?
24,Как получить кэшбэк?
25,"Я записалась в банк по расписанию, но меня не приняли. Как быть?"
26,Какой у меня БИК?
27,Где находится обещанный кешбек?
28,не вижу в истории списаний и пополнений карты покупку в магазине zolla сумма 0000.00
29,Могу ли я увидеть последние операции по моей карте?
30,Смс для активации карты не поступает
31,"Могу ли я оформить кредит, чтобы средства были зачислены на карту в личном кабинете?"
32,Почему не поступают подтверждения за операцию?
33,Какая SMS не пришла?
34,Какой номер счета нужен для получения зарплаты?
35,Как можно выяснить реквизиты расчетного счета?
36,Где находится одобренная заявка от партнера?
37,Расчетный счет
38,Где можно найти расчётный счёт?
39,Не приходят оповещения о проведенных операциях по кредитной карте.
40,"Как проверить, что платеж был успешно обработан?"
41,Как выполнить кэш?
42,Как узнать БИК банка?
43,Поступило 00000 рублей на счет
44,Как поступила сумма?
45,Могли бы вы помочь с оформлением заявки?
46,Нет средств на карте кредита
47,"Здравствуйте, я сделал новую карту, но в приложении её не вижу, почему?"
48,"Как проверить, привязана ли карта к данному номеру?"
49,Как отозвать запись в отделение?
50,Какой способ оплаты кредита?
51,Как открыть расчетный счет?
52,"Почему в истории операций не отображается списание 0 тысяч за услугу, оплаченную сейчас в Циан?"
53,Какой номер счета?
54,Как проверить статус последней оплаты?
55,Как открыть расчетный счет?
56,В мобильном приложении отображается только одна карта
57,Как проверить свой расчетный счет?
58,Хочу уточнить детали транзакции
59,Не могу обнаружить это пополнение
60,Как разобраться с удалением личного кабинета?
61,Нужно ли лицевой счет?
62,Уведомления о зачислении средств не поступают
63,"Здравствуйте, детскую карту ребёнку оформили, но сумма перевода не отображается в личном кабинете?"
64,"Бик карты необходим, счет и все остальные документы."
65,Какой номер у моего ипотечного договора?
66,Почему не поступают уведомления о зачислении денег?
67,Как правильно направить обращение: в банк или в офис?
68,Как получить кэшбэк за оплату авиабилетов?
69,"Okay, let's tackle this. The user wants a rephrased version of their query. The original is ""Я 0 мая оплатила кредит, деньги пришли на счёт?"" which translates to ""I paid the loan on May 0th, did the money arrive on the account?"""
70,"Где можно найти номер договора, связанного с картой?"
71,Можно ли использовать средства на карте до момента получения?
72,Как получить продукты?
73,Одобрили 0000 рублей 😆
74,Где находится моя кредитная карта?
75,"Здравствуйте, я случайно удалила карту с лимитом 00000, счет остался, можно ли мне вернуть карту в приложение?"
76,Откуда берутся средства на счету кредитной карты?
77,Почему не была предоставлена вся сумма кредита?
78,"Можно ли подтвердить переводы без использования смс, например через пуш-уведомление или пароль для входа?"
79,Как поступили деньги на кредитную карту?
80,Счет этого номера заблокирован.
81,Как изменить или убрать?
82,Где находятся средства от последнего пополнения?
83,"Внесла платеж, хотела бы узнать, поступили ли деньги."
84,Как получить БИК банка?
85,"Я взял деньги в рассрочку, оплатил раньше срока. На счету отображается 0000 рублей."
86,Где будет отображаться?
87,"Нет, я имею в виду другой кэшбек."
88,Где можно найти номер счета карты?
