q_id,web_list
1,"[372, 372, 372, 372, 1705]"
2,"[372, 368, 1157, 368, 372]"
3,"[1705, 1760, 1704, 1760, 1753]"
4,"[1043, 1915, 1043, 1705, 1704]"
5,"[165, 921, 937, 1586, 1193]"
6,"[1915, 688, 1147, 1915, 1752]"
7,"[1637, 1637, 1916, 1528, 1906]"
8,"[1157, 368, 758, 1824, 372]"
9,"[1586, 921, 920, 1193, 1909]"
10,"[455, 116, 1704, 98, 455]"
11,"[890, 449, 1918, 1615, 1]"
12,"[1192, 1611, 1726, 454, 1604]"
13,"[1025, 1526, 1897, 1922, 1884]"
14,"[372, 372, 372, 368, 372]"
15,"[1628, 1773, 1892, 1298, 377]"
16,"[1202, 1025, 410, 171, 1915]"
17,"[372, 372, 1157, 372, 368]"
18,"[327, 1344, 1607, 740, 748]"
19,"[1915, 1344, 926, 1077, 1915]"
20,"[1746, 409, 409, 1915, 1299]"
21,"[116, 455, 98, 455, 455]"
22,"[362, 362, 856, 1705, 885]"
23,"[1705, 928, 1704, 1704, 1705]"
24,"[124, 1118, 1247, 98, 60]"
25,"[1526, 165, 1922, 1897, 1344]"
26,"[349, 1039, 372, 372, 1098]"
27,"[1247, 124, 165, 98, 1746]"
28,"[1842, 96, 97, 1833, 1843]"
29,"[89, 1811, 89, 1894, 60]"
30,"[922, 1616, 1897, 1922, 1884]"
31,"[175, 150, 142, 920, 1040]"
32,"[116, 1705, 1760, 1705, 1915]"
33,"[455, 98, 1897, 1922, 455]"
34,"[1824, 904, 758, 1157, 156]"
35,"[368, 1157, 368, 372, 372]"
36,"[278, 967, 1170, 441, 1617]"
37,"[340, 374, 362, 343, 1763]"
38,"[1607, 1272, 1186, 1157, 331]"
39,"[922, 1758, 1760, 1915, 1915]"
40,"[368, 1915, 372, 1137, 773]"
41,"[1918, 1247, 60, 1540, 1752]"
42,"[372, 372, 368, 1098, 368]"
43,"[913, 481, 1258, 1256, 1261]"
44,"[395, 913, 1704, 1598, 1869]"
45,"[278, 967, 397, 1039, 1170]"
46,"[925, 1041, 1030, 1034, 419]"
47,"[1905, 1627, 1627, 1527, 1899]"
48,"[1705, 1032, 1926, 1904, 1704]"
49,"[164, 167, 175, 1025, 116]"
50,"[1186, 928, 166, 1250, 331]"
51,"[374, 362, 380, 362, 1704]"
52,"[1765, 1777, 98, 1752, 1752]"
53,"[372, 372, 368, 372, 1721]"
54,"[678, 97, 1592, 1916, 335]"
55,"[1891, 362, 362, 362, 1704]"
56,"[1521, 1527, 1529, 1522, 43]"
57,"[368, 1157, 368, 1272, 372]"
58,"[1141, 1659, 773, 1654, 1704]"
59,"[1915, 1275, 1705, 1758, 1869]"
60,"[1178, 688, 1705, 1910, 1875]"
61,"[1157, 1157, 776, 776, 1157]"
62,"[1915, 395, 1014, 922, 108]"
63,"[1748, 1071, 1071, 1071, 1915]"
64,"[1527, 1562, 1770, 1069, 1607]"
65,"[1011, 998, 1682, 1012, 1006]"
66,"[1900, 1915, 1014, 1258, 1704]"
67,"[125, 1738, 1734, 773, 780]"
68,"[1073, 1313, 1540, 420, 420]"
69,"[1915, 1029, 265, 1344, 165]"
70,"[1157, 1157, 1608, 1894, 1769]"
71,"[96, 97, 1534, 1561, 1532]"
72,"[96, 1700, 1700, 409, 102]"
73,"[913, 1855, 1863, 1846, 1756]"
74,"[113, 1907, 1589, 1915, 1193]"
75,"[1915, 1899, 1915, 258, 1529]"
76,"[920, 1915, 164, 1193, 980]"
77,"[408, 1042, 171, 1666, 1929]"
78,"[98, 96, 97, 102, 102]"
79,"[1915, 151, 964, 166, 199]"
80,"[1528, 1066, 835, 1906, 1113]"
81,"[375, 1187, 438, 1171, 1636]"
82,"[1915, 1721, 1637, 1704, 1301]"
83,"[1724, 1344, 410, 1202, 926]"
84,"[372, 368, 372, 717, 1098]"
85,"[1915, 902, 1014, 1202, 410]"
86,"[1918, 1615, 1, 1298, 1740]"
87,"[60, 60, 420, 1247, 420]"
88,"[1607, 1157, 372, 1202, 1567]"
89,"[368, 113, 1098, 372, 1273]"
90,"[906, 481, 773, 1298, 1250]"
91,"[1746, 164, 1713, 420, 1516]"
92,"[455, 114, 454, 454, 1032]"
93,"[1798, 1802, 1619, 1760, 1704]"
94,"[116, 116, 98, 478, 1704]"
95,"[1066, 1915, 1526, 95, 113]"
96,"[1777, 1765, 692, 1752, 1364]"
97,"[752, 1547, 913, 789, 287]"
98,"[1344, 368, 368, 455, 1915]"
99,"[1876, 1918, 1740, 719, 1131]"
100,"[1299, 1556, 1538, 1065, 1066]"
101,"[1915, 283, 1076, 455, 1279]"
102,"[1704, 1825, 1607, 1705, 1704]"
103,"[1014, 773, 1560, 362, 455]"
104,"[926, 96, 98, 409, 1884]"
105,"[1772, 1762, 179, 1649, 1824]"
106,"[1075, 1014, 1008, 1676, 455]"
107,"[1001, 1863, 307, 672, 91]"
108,"[1935, 1762, 1240, 688, 1773]"
109,"[28, 28, 40, 29, 1791]"
110,"[1793, 1607, 740, 748, 844]"
111,"[1915, 1277, 1888, 1087, 322]"
112,"[165, 921, 419, 164, 921]"
113,"[1704, 1118, 925, 1073, 1918]"
114,"[1915, 1915, 1561, 89, 124]"
115,"[1705, 362, 362, 1704, 1832]"
116,"[1029, 1029, 921, 1586, 1041]"
117,"[1616, 1745, 1907, 1907, 96]"
